ts,event_strength,neg_boost,lambda,w_t
2019-03-17 23:00:00,0.0,1.0,1.0,0.0
2019-03-18 00:00:00,0.0,1.0,1.0,0.0
2019-03-18 01:00:00,0.0,1.0,1.0,0.0
2019-03-18 02:00:00,0.0,1.0,1.0,0.0
2019-03-18 03:00:00,0.0,1.0,1.0,0.0
2019-03-18 04:00:00,0.0,1.0,1.0,0.0
2019-03-18 05:00:00,0.0,1.0,1.0,0.0
2019-03-18 06:00:00,0.0,1.0,1.0,0.0
2019-03-18 07:00:00,0.0,1.0,1.0,0.0
2019-03-18 08:00:00,0.0,1.0,1.0,0.0
2019-03-18 09:00:00,0.0,1.0,1.0,0.0
2019-03-18 10:00:00,0.0,1.0,1.0,0.0
2019-03-18 11:00:00,0.0,1.0,1.0,0.0
2019-03-18 12:00:00,0.0,1.0,1.0,0.0
2019-03-18 13:00:00,0.0,1.0,1.0,0.0
2019-03-18 14:00:00,0.0,1.0,1.0,0.0
2019-03-18 15:00:00,0.0,1.0,0.9741081827483226,0.0
2019-03-18 16:00:00,0.0,1.0,0.9743139787510787,0.0
2019-03-18 17:00:00,0.0,1.0,0.9785927714648758,0.0
2019-03-18 18:00:00,0.0,1.0,0.9663225250806883,0.0
2019-03-18 19:00:00,0.0,1.0,0.9900918156489793,0.0
2019-03-18 20:00:00,0.0,1.0,0.9899137636547523,0.0
2019-03-18 22:00:00,0.0,1.0,0.991086482928101,0.0
2019-03-18 23:00:00,0.0,1.0,0.9928918612142935,0.0
2019-03-19 00:00:00,0.0,1.0,0.99484620151736,0.0
2019-03-19 01:00:00,0.0,1.0,1.0,0.0
2019-03-19 02:00:00,0.0,1.0,1.0,0.0
2019-03-19 03:00:00,0.0,1.0,1.0,0.0
2019-03-19 04:00:00,0.0,1.0,1.0,0.0
2019-03-19 05:00:00,0.0,1.0,1.0,0.0
2019-03-19 06:00:00,0.0,1.0,1.0,0.0
2019-03-19 07:00:00,0.0,1.0,1.0,0.0
2019-03-19 08:00:00,0.0,1.0,0.9787994111282721,0.0
